"GEO_ID","B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","NAME"
"id","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Geographic Area Name"
"0400000US01","45734230","600433","42487215","587007","25986650","439944","16500565","517821","3247015","247421","Alabama"
"0400000US02","6100595","237105","6069265","235882","4973180","200305","1096085","141315","31325","30686","Alaska"
"0400000US04","60533900","801978","58957890","783370","53765435","674757","5192455","340794","1576015","177292","Arizona"
"0400000US05","25178550","462927","23519785","448802","14298840","332340","9220950","311090","1658765","164035","Arkansas"
"0400000US06","405422285","1943586","402553330","1972994","285220410","1757538","117332920","1160838","2868955","255590","California"
"0400000US08","54754485","711115","53353650","672420","26406350","412841","26947305","597013","1400835","188987","Colorado"
"0400000US09","40485455","569410","34906395","505248","22993150","388466","11913245","375409","5579055","301619","Connecticut"
"0400000US10","9465400","233864","7134290","209783","6176025","178913","958265","112454","2331105","196084","Delaware"
"0400000US11","8299135","245679","5407350","202270","5407350","202270","-","**","2891785","199687","District of Columbia"
"0400000US12","191245090","1336118","187060330","1340984","134546505","1043669","52513820","1076905","4184760","359809","Florida"
"0400000US13","105845395","1009049","101065285","963470","42840040","636670","58225240","863652","4780115","311493","Georgia"
"0400000US15","15899725","296484","15820315","304270","15719560","300986","100750","38932","79415","33267","Hawaii"
"0400000US16","12814390","319367","11719905","309060","8102105","246686","3617795","213813","1094485","135412","Idaho"
"0400000US17","154641390","1027940","146930675","1008975","93215370","859510","53715305","855523","7710720","362689","Illinois"
"0400000US18","63897200","848697","56725725","686875","31187600","470657","25538125","532979","7171475","355736","Indiana"
"0400000US19","27488735","403981","25182460","398401","15457860","273434","9724600","314443","2306270","174288","Iowa"
"0400000US20","24842820","412845","21726715","361654","14698790","273065","7027925","248686","3116105","217096","Kansas"
"0400000US21","39263570","589319","34918840","512523","19789740","347091","15129100","424817","4344730","299518","Kentucky"
"0400000US22","46901760","731977","44598885","675893","23668630","398104","20930255","566967","2302875","280672","Louisiana"
"0400000US23","13865555","310025","12774320","282891","8341865","215065","4432455","214367","1091230","148332","Maine"
"0400000US24","86725320","936822","61720715","774406","29846280","577997","31874435","652644","25004605","641392","Maryland"
"0400000US25","83281335","841803","78384440","849842","39931620","558554","38452820","711828","4896895","321026","Massachusetts"
"0400000US26","93277680","738928","89983080","714046","49502055","524201","40481025","565787","3294600","219232","Michigan"
"0400000US27","57500660","461475","55228730","444385","26124615","326173","29104120","418384","2271925","153309","Minnesota"
"0400000US28","26962705","619430","22988305","501686","11950845","311088","11037460","442068","3974400","317211","Mississippi"
"0400000US29","59683020","762803","54252075","663793","28308845","383962","25943230","558090","5430940","295581","Missouri"
"0400000US30","8001775","288811","7622205","248942","6157845","198910","1464360","160829","379570","103990","Montana"
"0400000US31","16190840","268187","15265145","266090","9959040","191053","5306105","176572","925695","102119","Nebraska"
"0400000US32","26527415","450436","25534615","412017","23992270","382873","1542345","159414","992795","186387","Nevada"
"0400000US33","16288980","323328","11856035","266405","7331345","186441","4524690","212399","4432945","235095","New Hampshire"
"0400000US34","118453200","1010678","87090695","891753","39200215","550746","47890485","674125","31362505","780609","New Jersey"
"0400000US35","18143105","367980","16940940","373355","12814250","352576","4126690","207668","1202165","149416","New Mexico"
"0400000US36","261890505","1539091","250112140","1597386","118038995","1251166","132073145","1337411","11778370","537142","New York"
"0400000US37","92511045","873801","87940460","821421","51829505","637220","36110955","581620","4570585","341038","North Carolina"
"0400000US38","5508985","169270","5157945","160738","3792030","112413","1365915","119228","351040","70277","North Dakota"
"0400000US39","111678395","772682","106359220","701678","61166210","533189","45193010","700843","5319175","264684","Ohio"
"0400000US40","32985035","550252","31274820","492539","19258495","370855","12016325","395639","1710220","184110","Oklahoma"
"0400000US41","34685755","441623","33341265","432051","21573205","376356","11768060","365809","1344490","155424","Oregon"
"0400000US42","142551720","1127207","126836165","981133","77063060","665661","49773100","791075","15715555","539980","Pennsylvania"
"0400000US44","10647960","290927","7915490","245052","4926680","181312","2988815","194411","2732470","206795","Rhode Island"
"0400000US45","44135345","696176","40473240","683457","24859520","482439","15613725","505330","3662105","231636","South Carolina"
"0400000US46","6432260","195166","6033830","183919","4092855","137127","1940975","114524","398430","70979","South Dakota"
"0400000US47","62188885","572548","58108155","597951","34783125","434919","23325035","529876","4080730","324135","Tennessee"
"0400000US48","263072845","1525706","258010720","1447990","170392845","1162496","87617875","1066661","5062125","386241","Texas"
"0400000US49","24510755","392556","23779815","382046","16409480","316406","7370340","273583","730935","133344","Utah"
"0400000US50","6313975","187550","5651325","152366","3709670","133068","1941655","139710","662650","74674","Vermont"
"0400000US51","101312935","1016880","85056285","919982","31708160","568293","53348125","881851","16256650","566654","Virginia"
"0400000US53","72439920","779467","68546005","717432","49089485","559185","19456520","500241","3893915","286874","Washington"
"0400000US54","18079420","397877","14207680","319680","8246450","243204","5961230","288760","3871740","254429","West Virginia"
"0400000US55","56949420","556357","52363815","492827","30460815","378694","21903000","407527","4585605","255647","Wisconsin"
"0400000US56","4847550","209894","4424515","192966","3542165","177983","882355","121661","423035","120441","Wyoming"
"0400000US72","30345790","460613","30237205","474472","8969595","271218","21267610","432275","108585","68466","Puerto Rico"
